Player,Destination Club,Origin Club,Fee Text,Transfer Fee (EUR)
Edson ÁlvarezE. Álvarez,West Ham United,Unknown,€38.00m,3800000000.0
James Ward-ProwseJ. Ward-Prowse,West Ham United,Unknown,€34.80m,3480000000.0
Konstantinos MavropanosK. Mavropanos,West Ham United,Unknown,€20.00m,2000000000.0
Andrew IrvingA. Irving,West Ham United,Unknown,€1.76m,176000000.0
Matheus CunhaM. Cunha,Wolverhampton Wanderers,Unknown,€50.00m,5000000000.0
Jean-Ricner BellegardeJ. Bellegarde,Wolverhampton Wanderers,Unknown,€15.00m,1500000000.0
Santiago BuenoS. Bueno,Wolverhampton Wanderers,Unknown,€12.00m,1200000000.0
Boubacar TraoréB. Traoré,Wolverhampton Wanderers,Unknown,€11.00m,1100000000.0
Enso GonzálezE. González,Wolverhampton Wanderers,Unknown,€6.00m,600000000.0
Matt DohertyM. Doherty,Wolverhampton Wanderers,Unknown,free transfer,0.0
Tom KingTom King,Wolverhampton Wanderers,Unknown,free transfer,0.0
