Player,Destination Club,Pos,Age,Transfer Fee (EUR),MP,Min,Gls,Ast,G_A,G_A_per90,xG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90
Jefferson LermaJ. Lerma,Crystal Palace,MF,28.0,0.0,28.0,2400.0,1.0,1.0,2.0,0.075,0.10125,0.0825,0.525,3.9749999999999996,1.9124999999999999
Ashley YoungA. Young,Everton FC,DF,38.0,0.0,31.0,2280.0,0.0,0.0,0.0,0.0,0.02368421052631579,0.05921052631578948,1.5789473684210527,3.236842105263158,2.4078947368421053
Alex IwobiA. Iwobi,Fulham FC,MF,27.0,2570000000.0,2.0,140.0,0.0,0.0,0.0,0.0,0.19285714285714284,0.1285714285714286,3.857142857142857,2.571428571428571,5.142857142857142
Calvin BasseyC. Bassey,Fulham FC,DF,23.0,2250000000.0,29.0,2303.0,1.0,0.0,1.0,0.03907946157186279,0.011723838471558836,0.0,0.5861919235779418,2.422926617455493,0.15631784628745116
Timothy CastagneT. Castagne,Fulham FC,DF,27.0,1300000000.0,34.0,2634.0,1.0,3.0,4.0,0.1366742596810934,0.054669703872437365,0.06492027334851937,1.6400911161731209,2.630979498861048,3.8610478359908886
Raúl JiménezR. Jiménez,Fulham FC,FW,32.0,640000000.0,24.0,1395.0,7.0,0.0,7.0,0.45161290322580644,0.33548387096774196,0.0967741935483871,0.7096774193548387,1.5483870967741935,5.612903225806452
Adama TraoréA. Traoré,Fulham FC,FW,27.0,0.0,17.0,377.0,2.0,3.0,5.0,1.1936339522546418,0.35809018567639256,0.16710875331564984,6.9230769230769225,3.819628647214854,11.458885941644562
Dominik SzoboszlaiD. Szoboszlai,Liverpool FC,MF,22.0,7000000000.0,33.0,2104.0,3.0,2.0,5.0,0.21387832699619774,0.15826996197718632,0.24809885931558937,3.208174904942966,6.501901140684411,6.844106463878328
Alexis Mac AllisterA. Mac Allister,Liverpool FC,MF,24.0,4200000000.0,33.0,2599.0,5.0,5.0,10.0,0.34628703347441325,0.1281262023855329,0.12466333205078878,1.5236629472874184,7.237398999615237,1.6621777606771837
Ryan GravenberchR. Gravenberch,Liverpool FC,MF,21.0,4000000000.0,26.0,1121.0,1.0,0.0,1.0,0.08028545941123996,0.16057091882247992,0.07225691347011597,3.1311329170383586,6.262265834076717,5.700267618198037
Wataru EndoW. Endo,Liverpool FC,MF,30.0,2000000000.0,29.0,1722.0,1.0,0.0,1.0,0.05226480836236934,0.02613240418118467,0.08885017421602788,0.5226480836236934,5.2787456445993035,1.0975609756097562
Ryan GilesR. Giles,Luton Town,DF,23.0,585000000.0,11.0,503.0,0.0,0.0,0.0,0.0,0.01789264413518887,0.03578528827037774,1.6103379721669981,3.0417495029821073,5.367793240556661
Tahith ChongT. Chong,Luton Town,MF,23.0,470000000.0,33.0,1982.0,4.0,0.0,4.0,0.18163471241170534,0.12260343087790111,0.022704339051463168,2.5882946518668013,3.2694248234106964,4.58627648839556
Mads AndersenM. Andersen,Luton Town,DF,25.0,350000000.0,8.0,400.0,1.0,0.0,1.0,0.22499999999999998,0.06749999999999999,0.0,0.0,1.575,0.22499999999999998
Marvelous NakambaM. Nakamba,Luton Town,MF,29.0,290000000.0,13.0,1130.0,0.0,0.0,0.0,0.0,0.01592920353982301,0.03185840707964602,0.07964601769911504,2.8672566371681416,0.39823008849557523
Jacob BrownJ. Brown,Luton Town,MF,25.0,290000000.0,19.0,1019.0,2.0,0.0,2.0,0.17664376840039253,0.24730127576054953,0.06182531894013738,2.2080471050049066,1.678115799803729,4.681059862610402
Chiedozie OgbeneC. Ogbene,Luton Town,MF,26.0,0.0,30.0,1995.0,4.0,1.0,5.0,0.22556390977443608,0.18947368421052632,0.13984962406015036,5.7293233082706765,2.3909774436090223,6.7669172932330826
